material,categoria,sku,precio,imagenes,carpeta
Oro 18k,Aretes,34199,70000,3,Catalogo Oro\Aretes\34199
Oro 18k,Aretes,30033,70000,3,Catalogo Oro\Aretes\30033
Oro 18k,Aretes,34305,70000,3,Catalogo Oro\Aretes\34305
Oro 18k,Aretes,34247,70000,3,Catalogo Oro\Aretes\34247
Oro 18k,Aretes,34111,80000,4,Catalogo Oro\Aretes\34111
Oro 18k,Aretes,34193,50000,3,Catalogo Oro\Aretes\34193
Oro 18k,Aretes,34292,75000,3,Catalogo Oro\Aretes\34292
Oro 18k,Aretes,34196,90000,3,Catalogo Oro\Aretes\34196
Oro 18k,Aretes,34195,80000,3,Catalogo Oro\Aretes\34195
Oro 18k,Aretes,34110,50000,3,Catalogo Oro\Aretes\34110
Oro 18k,Aretes,30032,75000,1,Catalogo Oro\Aretes\30032
Oro 18k,Aretes,34248,70000,3,Catalogo Oro\Aretes\34248
Oro 18k,Aretes,34278-CRISTAL,75000,3,Catalogo Oro\Aretes\34278-CRISTAL
Oro 18k,Aretes,30023,75000,1,Catalogo Oro\Aretes\30023
Oro 18k,Aretes,34189,95000,3,Catalogo Oro\Aretes\34189
Oro 18k,Aretes,34252,70000,4,Catalogo Oro\Aretes\34252
Oro 18k,Aretes,34107-CRISTAL,65000,3,Catalogo Oro\Aretes\34107-CRISTAL
Oro 18k,Aretes,30406,55000,4,Catalogo Oro\Aretes\30406
Oro 18k,Aretes,34714,60000,2,Catalogo Oro\Aretes\34714
Oro 18k,Aretes,34165,95000,5,Catalogo Oro\Aretes\34165
Oro 18k,Aretes,34713,65000,2,Catalogo Oro\Aretes\34713
Oro 18k,Aretes,30019,80000,2,Catalogo Oro\Aretes\30019
Oro 18k,Aretes,34307,75000,3,Catalogo Oro\Aretes\34307
Oro 18k,Aretes,34274,70000,3,Catalogo Oro\Aretes\34274
Oro 18k,Aretes,34304,95000,3,Catalogo Oro\Aretes\34304
Oro 18k,Aretes,34303,75000,3,Catalogo Oro\Aretes\34303
Oro 18k,Aretes,34157,95000,3,Catalogo Oro\Aretes\34157
Oro 18k,Aretes,30018,70000,3,Catalogo Oro\Aretes\30018
Oro 18k,Aretes,34209,60000,4,Catalogo Oro\Aretes\34209
Oro 18k,Aretes,34035,70000,4,Catalogo Oro\Aretes\34035
Oro 18k,Aretes,34238,65000,3,Catalogo Oro\Aretes\34238
Oro 18k,Aretes,30009,70000,3,Catalogo Oro\Aretes\30009
Oro 18k,Aretes,34280,60000,2,Catalogo Oro\Aretes\34280
Oro 18k,Aretes,34301,75000,3,Catalogo Oro\Aretes\34301
Oro 18k,Aretes,34262,60000,2,Catalogo Oro\Aretes\34262
Oro 18k,Aretes,34268,60000,3,Catalogo Oro\Aretes\34268
Oro 18k,Aretes,33023-ROSA,50000,4,Catalogo Oro\Aretes\33023-ROSA
Oro 18k,Aretes,34285,75000,2,Catalogo Oro\Aretes\34285
Oro 18k,Aretes,34139,80000,2,Catalogo Oro\Aretes\34139
Oro 18k,Aretes,33023-ROJO,50000,3,Catalogo Oro\Aretes\33023-ROJO
Oro 18k,Aretes,30010,70000,3,Catalogo Oro\Aretes\30010
Oro 18k,Aretes,30408,65000,4,Catalogo Oro\Aretes\30408
Oro 18k,Aretes,34184,65000,5,Catalogo Oro\Aretes\34184
Oro 18k,Aretes,30021,100000,2,Catalogo Oro\Aretes\30021
Oro 18k,Aretes,34312,80000,3,Catalogo Oro\Aretes\34312
Oro 18k,Aretes,34183,60000,5,Catalogo Oro\Aretes\34183
Oro 18k,Aretes,34264,65000,2,Catalogo Oro\Aretes\34264
Oro 18k,Aretes,34254,70000,3,Catalogo Oro\Aretes\34254
Oro 18k,Aretes,34012,55000,5,Catalogo Oro\Aretes\34012
Oro 18k,Aretes,30011,80000,3,Catalogo Oro\Aretes\30011
Oro 18k,Aretes,34712,65000,5,Catalogo Oro\Aretes\34712
Oro 18k,Aretes,34246,70000,4,Catalogo Oro\Aretes\34246
Oro 18k,Aretes,30041,70000,3,Catalogo Oro\Aretes\30041
Oro 18k,Aretes,30040,75000,2,Catalogo Oro\Aretes\30040
Oro 18k,Aretes,34134,95000,4,Catalogo Oro\Aretes\34134
Oro 18k,Aretes,34283,85000,3,Catalogo Oro\Aretes\34283
Oro 18k,Aretes,30404,50000,4,Catalogo Oro\Aretes\30404
Oro 18k,Aretes,34302,80000,3,Catalogo Oro\Aretes\34302
Oro 18k,Aretes,33021-ROJO,50000,5,Catalogo Oro\Aretes\33021-ROJO
Oro 18k,Aretes,34113,80000,5,Catalogo Oro\Aretes\34113
